197,4,a,b,c,d,e,f,i,k,l,m,n,o,p,q,r,t,u,v,w,x,y,z
61320, 80260, 20910, 17710, 8
24690, 50710, 23010, 19650  8
53350, 53740, 16700, 15430  8 
53350, 44540, 19220, 14700  8
63370, 24460, 18870, 19060  8
67270, 50710, 17980, 18410  8
50710, 193980,18570, 18810  8
50710, 78690, 18970, 18330  8
43960, 50710, 22380, 15690  8
47950, 66680, 22790, 11930, 9
66680, 77170, 17710, 12320, 9
58910, 75400, 16700, 11120, 9
66680, 48950, 18890, 10280, 9
66110, 70310, 18810, 12720, 9
64450, 78690, 17710, 16700, 9
58910, 72920, 24930, 13180, 9
56230, 172130,18890, 10940, 9
66110, 72250, 17710, 12080, 9
59860, 77920, 18890, 10320, 9
53350, 48620, 18890, 10600, 9
32670, 49640, 36360, 20170, 10
48620, 60340, 42570, 38340, 10
35530, 50680, 38340, 33030, 10
38110, 127820,37000, 32500, 10
47300, 72250, 45570, 35330, 10
46980, 59860, 34000, 29530, 10
50710, 175440,33600, 28340, 10
45130, 66680, 37000, 31460, 10
44540, 50350, 35530, 22900, 11
42840, 03030, 41510, 29380, 11
63910, 48620, 35130, 23880, 11
57100, 19390, 41000, 30150, 11
40740, 98500, 35530, 20090, 11
43120, 53740, 48280, 16910, 12
34930, 03370, 43960, 21190, 12
42570, 54550, 46980, 17870, 12
41510, 52960, 34730, 20720, 12
41000, 186140,70940, 21870, 12
50710, 31800, 43960, 22790, 12
53350, 55380, 43960, 22900, 12
48620, 56230, 45600, 24570, 12  
57100, 207000,47960, 25170, 12  
53740, 85320, 53960, 26820, 12
46040, 55380, 26560, 13130, 13
43120, 50710, 27360, 19820, 13
44540, 104600,34150, 19650, 13
30470, 77170, 28560, 18330, 13
43120, 56660, 31130, 15500, 13
69680, 61320, 27360, 19390, 13
61820, 61320, 27360, 19560, 13  
34150, 66110, 34150, 19730, 13
33960, 49990, 26170, 15430, 14
35330, 104600,28630, 15120, 14
35330, 87130, 28790, 18490, 14
36570, 56230, 36570, 19650, 14  
34150, 12660, 28490, 16840, 14
38570, 50350, 38800, 21190, 14
35330, 21090, 30150, 18650, 14
36570, 42840, 36570, 19560, 14
38570, 42570, 38800, 21190, 14  
34150, 63910, 28490, 16350, 14
34730, 104600,28630, 14880, 14
35330, 46350, 38800, 21190, 14
36780, 26170, 19220, 15560, 15
45430, 23110, 18730, 22480, 15
54140, 43680, 19560, 32140, 15
45430, 281400,39030, 21290, 15
54140, 281400,39030, 20000, 15
51070, 41000, 39030, 19910, 15
41510, 62850, 39030, 18490, 15
51440, 23110, 18730, 23770, 15
54550, 41000, 39030, 18100, 15
28490, 32140, 35330, 16490, 16
27360, 26040, 41000, 19060, 16
31290, 60830, 43680, 29080, 16
29680, 62850, 41000, 19730, 16
26040, 26950, 41700, 22580, 16
22380, 31460, 39500, 18490, 16
19310, 55800, 44700, 25540, 16
19820, 37220, 40700, 20260, 16
23770, 32140, 35330, 17200, 16
32850, 54960, 26300, 17420, 17
21000, 15950, 17200, 22280, 17
22070, 21870, 30150, 22690, 17
28630, 44250, 50530, 28200, 17
24340, 62330, 42150, 25910, 17
33400, 21870, 37150, 23220, 17
20170, 83570, 39150, 24220, 17
19310, 2.1172,39350, 24690, 17
45430, 34344, 23772, 17270, 18
50349, 52189, 14755, 21479, 18
53744, 01320, 31971, 22275, 18
44834, 52957, 21972, 27635, 18
41510, 33034, 23222, 17790, 19
59381, 04508, 21872, 23330, 19
51440, 02845, 31799, 23007, 19
71592, 63374, 20354, 22481, 19
52189, 62850, 28056, 24573, 20
62850, 67265, 43120, 27635, 20
63374, 07084, 47298, 32320, 20
58912, 51812, 34733, 32496, 20
36780, 61820, 37880, 13610, 21
35530, 69060, 49990, 14050, 21
30960, 103320,47300, 16150, 21
44834, 36571, 21382, 17053, 22
56228, 31799, 24691, 24809, 22
63374, 19735, 17790, 22481, 22
52571, 19997, 16560, 28780, 22
71592, 06503, 26039, 23222, 22
52571, 63374, 21382, 28199, 22






